Ticker,Drug,Stage,Catalyst
LOXO,Larotrectinib (LOXO-101)  Solid tumors that harbor a TRK fusion.,PDUFA priority review,"06/03/2017  Announced 76% ORR at ASCO - June 3, 2017. Primary analysis by the end of 2017 with NDA filing late 2017 or early 2018."
JNJ,ZYTIGA (abiraterone acetate) - LATITUDE  metastatic hormone-naïve prostate cancer (mHNPC),Approved,"06/03/2017  Phase 3 data presented at ASCO June 3, 2017 - PFS 33 months."
BMY,BMS-986016 - LAG-3 + Opdivo  Melanoma,Phase 1/2,"06/03/2017  Phase 1/2 ORR rate of 12.5% noted at ASCO June 3, 2017."
MTNB,MAT2203  Refractory mucocutaneous candidiasis,Phase 2a,"06/03/2017  Phase 2a open label data due released June 3, 2017 at ASM Microbe."
PBYI,Neratinib HER2-positive metastatic breast cancer patients with brain metastases,Phase 2,"06/03/2017  Phase 2 data released at ASCO June 3, 2017."
TSRO,Niraparib and Keytruda (TOPACIO)  Triple-negative Breast Cancer or Ovarian Cancer,Phase 1/2,06/03/2017  Phase 1/2 enrolling. Initial data presented at ASCO investor event. ORR 4/13 patients. Further data due 2H 2017.
TGTX,TG-1101 and IMBRUVICA (GENUINE trial)  Chronic Lymphocytic Leukemia (CLL) cancer,Phase 3,"06/03/2017  Phase 3 trial met primary endpoint - March 6, 2017. Data presented at ASCO 2017. Meeting with FDA in 2H 2017."
ARQL,Derazantinib (ARQ 087)  intrahepatic cholangiocarcinoma (iCCA),Phase 3,"06/03/2017  Phase 2 data at ASCO June 3, 2017 - ORR 21%. Phase 3 trial planned for 3Q 2017."
INCY,"Epacadostat with Keytruda - ECHO-202/KEYNOTE-037  NSCLC, RCC, Triple-Negative Breast, Ovarian, Urothelial Carcinoma, Solid Tumors",Phase 1/2,"06/03/2017  Phase 1/2 data presented at ASCO 2017. 35% ORR noted in NSCLC arm. UC, RCC, SCCHN data also presented June 5."
MRK,"Epacadostat with Keytruda - ECHO-202/KEYNOTE-037  NSCLC, RCC, Triple-Negative Breast, Ovarian, Urothelial Carcinoma, Solid Tumors",Phase 1/2,"06/03/2017  Phase 1/2 data presented at ASCO 2017. 35% ORR noted in NSCLC arm. UC, RCC, SCCHN data also presented June 5."
HALO,PEGPH20 - HALO-301  Pancreatic cancer,Phase 3,"06/04/2017  Phase 2 data released January 5, 2017. Oral presentation of Phase 2 data at ASCO June 4, 2017 showed ORR of 45%."
PIRS,PRS-080  Anemia of chronic disease,Phase 2a,"06/04/2017  Phase 1b data released at ERA-EDTA June 4, 2017."
FPRX,Cabiralizumab (FPA008)  Pigmented Villonodular Synovitis (PVNS),Phase 1/2,"06/04/2017  Phase 1/2 initial data released at ASCO June 4, 2017."
RNN,RX-3117  Advanced bladder cancer - 3rd line,Phase 2a,"06/04/2017  Phase 2a initial presented at ASCO June 4, 2017."
MRK,Keytruda - KEYNOTE-045 Bladder Cancer,Phase 3,06/04/2017  Phase 3 trial met its primary endpoint - October 2016. Updated data presented at ASCO 2017. HR 0.70. OS 10.3 months.
AZN,Lynparza  Breast cancer,Approved,"06/04/2017  Phase 3 data released February 17, 2016 - primary endpoint met. Late breaker at ASCO June 4, 2017 showed HR of 0.58 (42% reduction of risk of disease progression or death)."
MRK,Lynparza  Breast cancer,Approved,"06/04/2017  Phase 3 data released February 17, 2016 - primary endpoint met. Late breaker at ASCO June 4, 2017 showed HR of 0.58 (42% reduction of risk of disease progression or death)."
CELG,Lico-cel (CD-19 JCAR017) - TRANSCEND  r/r B cell non-Hodgkin lymphoma - cancer,Phase 1/2,"06/05/2017  Pivotal trial to be initiated in 2017. ASCO Poster Session June 5, 2017 - ORR 86%."
CALA,CX-1158-101  Solid tumors - cancer,Phase 1,"06/05/2017  Phase 1 oral presentation at ASCO, June 5, 2017."
BGNE,BGB-A317  Solid tumors,Phase 1/2,"06/05/2017  Phase 1/2 preliminary data presented at ASCO June 5, 2017."
NLNK,Indoximod + Sipuleucel-T  Metastatic castration resistant prostate cancer (mCRPC),Phase 2,"06/05/2017  Phase 2 poster presentation at ASCO June 5, 2017."
BMY,Opdivo + Yervoy  Malignant pleural mesothelioma (MPM),Phase 2,"06/05/2017  Phase 2 late breaker at ASCO June 5, 2017. Control rate 44%. ORR 19%."
INCY,Epacadostat with Opdivo (nivolumab) - (ECHO-204)  Solid tumors,Phase 1/2,"06/05/2017  Phase 1/2 trial enrolling. Oral presentation at ASCO June 5, 2017."
BMY,Epacadostat with Opdivo (nivolumab) - (ECHO-204)  Solid tumors,Phase 1/2,"06/05/2017  Phase 1/2 trial enrolling. Oral presentation at ASCO June 5, 2017."
IOVA,LN-144  Refractory metastatic melanoma,Phase 2,"06/05/2017  Phase 2 second cohort commenced enrollment - May 19, 2017. Initial data presented at ASCO June 5, 2017."
CRVS,CPI-444  Solid tumors - cancer,Phase 1b,"06/05/2017  Phase 1/1b preliminary data released November 2016. Further update at ASCO June 5, 2017."
CLSN,GEN-1 OVATION 2  Ovarian cancer,Phase 1/2,06/05/2017  Phase 1b interim data released at ASCO 2017 - ORR 86%.
PBYI,Roche (RHHBY) - Perjeta + Herceptin (APHINITY)  Adjuvant HER2+ breast cancer,Phase 3,"06/05/2017  Note this trial is conducted by competitor Roche (RHHBY), NOT by Puma. Primary endpoint was met March 2, 2017. Data released June 5, 2017 - HR 0.81. Disease-free-survival +0.9% over Herceptin."
GLYC,Uproleselan (GMI-1271)  Acute myeloid leukemia (AML) newly diagnosed and refractory - cancer,Phase 1/2,"06/05/2017  Phase 2 enrollment completed - announced May 31, 2017. Data updates at ASCO June 5, 2017."
GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3) Adult patients with r/r ALL - cancer,Phase 1/2,"06/05/2017  Phase 2 data due 2018. Phase 1 data released at ASCO June 5, 2017. Complete remission 73%."
BLUE,bb2121  Relapsed/refractory multiple myeloma,Phase 1,"06/05/2017  Phase 1 interim data released November 30, 2016 - 78% ORR. Pivotal trial to be initiated 2017. Updated data at ASCO June 5, 2017 - ORR 89%."
CELG,bb2121  Relapsed/refractory multiple myeloma,Phase 1,"06/05/2017  Phase 1 interim data released November 30, 2016 - 78% ORR. Pivotal trial to be initiated 2017. Updated data at ASCO June 5, 2017 - ORR 89%."
ALKS,Aristada  Schizophrenia,Approved,"06/06/2017  Approved October 5 2015. sNDA filed for 2-month option with approval announced June 6, 2017."
ABBV,ABT-494 (upadacitinib) - SELECT-NEXT  Rheumatoid arthritis,Phase 3,"06/07/2017  Phase 3 top-line data released June 7, 2017 - primary endpoints met."
NVS,Kymriah (CTL019 )- JULIET  Cancer - Diffuse Large B-Cell Lymphoma (DLBCL),PDUFA priority review,"06/07/2017  Phase 2 pivotal primary analysis due International Conference on Malignant Lymphoma (ICML) on June 14, 2017. Abstract released June 7, 2017. ORR 45%."
NVS,Kymriah (CTL019 )- JULIET  Cancer - Diffuse Large B-Cell Lymphoma (DLBCL),Approved,"06/07/2017  Phase 2 pivotal primary analysis due International Conference on Malignant Lymphoma (ICML) on June 14, 2017. Abstract released June 7, 2017. ORR 45%."
LXRX,Sotagliflozin  Type 1 Diabetes,PDUFA,"06/09/2017  Phase 3 data released September 9, 2016 met primary endpoint. Secondary endpoint data due May 2017. Data from second trial released December 21, 2016 - primary endpoint met. Data from third trial also met primary endpoint - June 9, 2017."
SNY,Sotagliflozin  Type 1 Diabetes,PDUFA,"06/09/2017  Phase 3 data released September 9, 2016 met primary endpoint. Secondary endpoint data due May 2017. Data from second trial released December 21, 2016 - primary endpoint met. Data from third trial also met primary endpoint - June 9, 2017."
XBIT,Xilonix  Colorectal cancer,Phase 3,"06/09/2017  Phase 3 interim analysis announced June 9, 2017 - trial to be terminated due to lack of efficacy."
JNJ,INVOKANA CANVAS  Type 2 diabetes,Approved,"06/12/2017  Cardiovascular Outcomes trial data released June 12, 2017 - 14% reduction in the risk of the composite primary endpoint of CV mortality."
RGLS,RG-101 Hepatitis C virus (HCV),Phase 2,"06/12/2017  Clinical hold placed June 2016. Noted June 12, 2017 that it plans to discontinue program."
XLRN,Dalantercept - DART Study  Renal Cell Carcinoma (RCC) - cancer,Phase 2,"06/12/2017  Phase 2 data released June 12, 2017 - primary endpoint not met."
CHRS,CHS-1701  Pegfilgrastim biosimilar,Approved,"06/12/2017  CRL announced June 12, 2017."
BTX,Renevia  Restoring normal skin contours in for patients with HIV,Phase 3,"06/14/2017  Pivotal trial data released June 14, 2017 - primary endpoint met."
RDHL,BEKINDA -GUARD  Gastroenteritis,Phase 3,"06/14/2017  Phase 3 top-line data released June 14, 2017 - primary endpoint met."
ALDX,Reproxalap (ADX-102)  Allergic conjunctivitis,Phase 3,"06/14/2017  Phase 2b data released June 14 2017 - primary endpoint not met. However, Phase 3 trial is planned."
KURA,Tipifarnib  Relapsed or refractory peripheral T-cell lymphoma,Phase 2,"06/14/2017  Phase 2 data presented at ICML conference on June 14, 2017 - 3/18 partial responses."
EPZM,Tazemetostat  Follicular lymphoma,Phase 2,"06/14/2017  Phase 2 data released June 14, 2017 - DLBCL ORR 29%."
SELB,SEL-212  Tophaceous gout,Phase 3,"06/15/2017  Phase 2 dosing commenced late October 2016. Initial data released at EULAR June 15, 2017."
PTLA,Cerdulatinib (PRT2070)  Refractory non-Hodgkin lymphoma and chronic lymphocytic leukemia - cancer,Phase 2,"06/15/2017  Phase 2 enrollment commenced May 2016. Interim data released June 15, 2017 - noted CLL/SLL 67% partial responese rate + two patient deaths."
ADMP,Epinephrine Pre-filled Syringe (PFS) Emergency treatment of anaphylaxis.,Approved,"06/15/2017  CRL issued March 27 2015. CRL issued again June 6, 2016. Approval announced June 15, 2017 following third submission."
JNJ,DARZALEX (Daratumumab) + pomalidomide and dexamethasone  Relapsed or refractory multiple myeloma,Approved,"06/16/2017  Approval announced June 16, 2017 - note: submitted by Janssen Biotech, Inc."
CLVS,Rucaparib ARIEL3 Ovarian cancer patients with a BRCA-like mutation,Approved,06/19/2017  Phase 3 data released June 20 2017 - primary endpoint met. sNDA filing due 3Q or early 4Q 2017.
NEOS,Cotempla XR-ODT  Attention deficit hyperactivity disorder (ADHD),Approved,"06/19/2017  Approval announced June 19, 2017."
CLVS,Rucaparib ARIEL3 Ovarian cancer patients with a BRCA-like mutation,PDUFA priority review,06/19/2017  Phase 3 data released June 20 2017 - primary endpoint met. sNDA filing due 3Q or early 4Q 2017.
LPCN,LPCN 1021  Men with low testosterone (Low T),-,"06/19/2017  CRL issued June 2016. Flexibility trial data announced June 19, 2017 - primary endpoint met with NDA fiing due 3Q 2017."
SGEN,Vadastuximab Talirine (CASCADE)  Acute myeloid leukemia (AML) - cancer,Phase 3,"06/19/2017  Phase 3 trial discontinued due to higher rate of deaths - June 19, 2017."
EGLT,OXAYDO  Acute and chronic moderate to severe pain,CRL,"06/20/2017  CRL announced June 20, 2017."
NVS,RTH258 (brolucizumab)  Neovascular AMD,Phase 3,"06/20/2017  Phase 3 data released June 20, 2017 - primary and key secondary endpoints met."
IMUC,ICT-107 dendritic cell vaccine  Glioblastoma antigens and cancer stem cells,Phase 3,"06/21/2017  Phase 2b failed to meet primary endpoint. Phase 3 initiated dosing June 2016 - noted June 21, 2017 that further enrollment to be suspended."
CARA,IV CR845  Acute pain,Phase 3,"06/21/2017  Interim conditional power analysis conducted June 21, 2017 - trial completion due 4Q 2017."
PFE,Epoetin alfa biosimilar,CRL,"06/22/2017  CRL issued June 22, 2017."
NVS,Tafinlar (dabrafenib) and Mekinist (trametinib)  Non-small cell lung cancer (NSCLC) with BRAF V600E mutation,Approved,"06/22/2017  FDA Approval announced June 22, 2017."
HALO,Subcutaneous rituximab  Various blood cancers,Approved,"06/22/2017  Approval announced June 22, 2017."
XOMA,ACZ885 (canakinumab) CV risk reduction,CRL,06/22/2017  Phase 3 trial met primary endpoint - data to be presented later in 2017 at a medical congress.
NVS,ACZ885 (canakinumab) CV risk reduction,CRL,06/22/2017  Phase 3 trial met primary endpoint - data to be presented later in 2017 at a medical congress.
BLUE,HGB-205  Transfusion-Dependent β-Thalassemia (TDT) and Severe Sickle Cell Disease (SCD),Phase 1/2,"06/23/2017  Phase 1/2 data presented at EHA June 23, 2017."
STML,SL-401  Blastic plasmacytoid dendritic cell neoplasm (BPDCN) cancer,PDUFA priority review,"06/23/2017  Phase 2 update on patients enrolled in Stages 1 and 2 presented at EHA June 23, 2017."
PTLA,Bevyxxa (betrixaban)  Venous thromboembolism (VTE) Prevention,Approved,"06/23/2017  FDA Approval noted June 23, 2017."
BLCM,BPX-501  Adjunct T-cell therapy administered after allogeneic HSCT - (hematopoietic stem cell transplantation) - cancer,Phase 1/2,"06/23/2017  Phase 1/2 update June 23, 2017."
GBT,GBT440 HOPE-KIDS 1  Sickle cell disease - children age 6-17.,Phase 2a,"06/23/2017  Phase 2a initiated June 2016. Preliminary data released at European Hematology Association (EHA) - June 23, 2017."
BLUE,LentiGlobin - HGB-207 Northstar-2  non-β0/β0 transfusion-dependent thalassemia (TDT),Phase 3,"06/23/2017  Phase 3 early data released at EHA June 23, 2017."
NVO,Semaglutide (NN9536)  Obesity,Phase 2,"06/23/2017  Phase 2 data released June 23, 2017 with Phase 3 trial to commence 2018."
AGIO,AG-348  Pyruvate kinase deficiency,Phase 3,"06/24/2017  Phase 2 updated data released at EHA June 24, 2017."
MTNB,MAT2203  Vulvovaginal candidiasis (VVC),Phase 2,"06/26/2017  Phase 2 top-line data released June 26, 2017. Not successful in demonstrating meaningful clinical response."
SGEN,ADCETRIS in combination with chemotherapy ECHELON-1 Frontline Hodgkin lymphoma,PDUFA priority review,"06/26/2017  Phase 3 data released June 26, 2017 - primary endpoint met."
SGEN,ADCETRIS in combination with chemotherapy ECHELON-1 Frontline Hodgkin lymphoma,Approved,"06/26/2017  Phase 3 data released June 26, 2017 - primary endpoint met."
AMAG,Makena - auto injector  Reduce the risk of preterm birth in women with a singleton pregnancy,Approved,"06/26/2017  sNDA filing announced April 17, 2017. PDUFA date February 14, 2018. 10-month review despite initial expectations of a 6-month review."
ATRS,Makena - auto injector  Reduce the risk of preterm birth in women with a singleton pregnancy,Approved,"06/26/2017  sNDA filing announced April 17, 2017. PDUFA date February 14, 2018. 10-month review despite initial expectations of a 6-month review."
AMAG,Makena - auto injector  Reduce the risk of preterm birth in women with a singleton pregnancy,PDUFA,"06/26/2017  sNDA filing announced April 17, 2017. PDUFA date February 14, 2018. 10-month review despite initial expectations of a 6-month review."
ATRS,Makena - auto injector  Reduce the risk of preterm birth in women with a singleton pregnancy,PDUFA,"06/26/2017  sNDA filing announced April 17, 2017. PDUFA date February 14, 2018. 10-month review despite initial expectations of a 6-month review."
MRK,Anacetrapib (MK-0859)  Raising HDL-C and reducing LDL-C,Phase 3,"06/27/2017  Phase 3 data due released June 27, 2017. Primary endpoint met."
XENE,TV-45070  Postherpetic neuralgia,Phase 2b,"06/27/2017  Phase 2b data released June 27, 2017. Endpoints not met."
RARX,RA101495  Paroxysmal nocturnal hemoglobinuria (PNH),Phase 2,"06/27/2017  Phase 2 initial data from two patients released June 27, 2017."
ALDR,ALD403 - PROMISE 1  Frequent episodic migraine,Phase 3,"06/27/2017  Phase 3 PROMISE 1 top-line data released June 27, 2017, Primary and key secondary endpoints met but competitive concerns raised."
GEMP,Gemcabene - COBALT-1  Homozygous Familial Hypercholesterolemia (HoFH),Phase 2b,"06/28/2017  Phase 2b data released June 28, 2017 - primary endpoint met."
AMGN,Vectibix (Panitumumab)  Wild-Type RAS Metastatic Colorectal Cancer,Approved,"06/29/2017  sBLA approval announced June 29, 2017."
CARA,CR845 Osteoarthritis (OA),Phase 2b,"06/29/2017  Phase 2b data released June 29, 2017 - trial failed."
ALKS,ALKS 3831 - ENLIGHTEN-1  Schizophrenia,Phase 3,"06/29/2017  Phase 3 preliminary data released June 30, 2017. Primary endpoint met - adverse events included weight gain."
MRK,KEYTRUDA - KEYNOTE-183  Multiple myeloma,Phase 2,"07/05/2017  Phase 3 clinical hold announced July 6, 2017 - also applies to KEYNOTE-185."
BMY,ORENCIA  Psoriatic Arthritis (PsA),Approved,"07/06/2017  Approval announced July 6, 2017."
RCKT,Trabodenoson and latanoprost  Glaucoma,Phase 2,"07/07/2017  Phase 2 trial failed - noted July 7, 2017."
IMRN,IMM-124E  Nonalcoholic steatohepatitis (NASH),Phase 2,"07/10/2017  Phase 2 top-line data due 4Q 2017. Interim analysis July 10, 2017 showed no statistical difference with placebo."
ALNY,Fitusiran Hemophilia A and B,Phase 2,"07/10/2017  Phase 2 Open-label Extension Study data released July 10, 2017 at ISTH."
ONCE,SPK-9001  Hemophilia B,Phase 1/2,"07/10/2017  Phase 1/2 updated data released July 10, 2017. 99% fall in infusion rate."
ARNA,Ralinepag  Pulmonary Arterial Hypertension,Phase 3,"07/10/2017  Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed."
UTHR,Ralinepag  Pulmonary Arterial Hypertension,Phase 3,"07/10/2017  Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed."
QURE,AMT-060  hemophilia B,Phase 1/2,"07/10/2017  Phase 1/2 long term updated data presented July 10, 2017."
SVRA,Aironite - INDIE  Heart failure with preserved ejection fraction (HFpEF),Phase 2,"07/11/2017  Phase 2 interim data released July 11, 2017."
AMGN,BLINCYTO  Ph+ R/R ALL,Approved,"07/11/2017  PDUFA date under priority review August 14, 2017. Approval announced July 11, 2017."
PFE,Mylotarg (gemtuzumab ozogamicin)  Acute myeloid leukemia (AML),Approved,"07/11/2017  Advisory Committee Meeting July 11, 2017 voted in favor 6-1 of a favorable risk:benefit profile."
BMRN,Valoctocogene roxaparvovec (BMN 270)  Hemophilia A,Phase 3,"07/11/2017  Phase 1/2 updated data released July 11, 2017. 97% reduction in Annualized Bleed Rate (ABR)."
OCUL,DEXTENZA  Ocular inflammation and pain following cataract surgery,PDUFA,"07/11/2017  CRL July 25 2016 - due to manufacturing deficiencies. NDA resubmitted, PDUFA date July 19, 2017. Further CRL issued July 11, 2017 with FDA noting deficiencies in manufacturing processes and analytical testing."
KDMN,KD025 - ROCKstar (KD025-213)  Chronic graft-versus-host disease (cGVHD),Phase 2,"07/11/2017  Phase 2 interim data presented July 11, 2017. ORR 71%."
AMGN,KYPROLIS (ASPIRE)  Relapsed Multiple Myeloma,Approved,07/12/2017  Phase 3 trial met primary endpoint. HR 79%.
NVS,Kymriah (CTL019)  Relapsed/Refractory B-Cell Acute lymphoblastic leukemia,Approved,"07/12/2017  Advisory Committee Meeting July 12, 2017 voted 10-0 recommending approval."
JNJ,Guselkumab  Plaque psoriasis,Approved,"07/13/2017  Approval announced July 13, 2017."
AMGN,EVENITY (Romosozumab)  Osteoporosis,BLA Filing,"07/16/2017  CRL issued July 16, 2017."
PBYI,Neratinib (NERLYNX)  Extended adjuvant HER2-positive early stage breast cancer,Approved,"07/17/2017  Approval announced July 17, 2017."
PRTK,Omadacycline - oral  Acute bacterial skin and skin structure infections (ABSSSI),Phase 3,"07/17/2017  Phase 3 data released July 17, 2017 - all endpoints met."
CBAY,Seladelpar  Primary biliary cholangitis (PBC),Phase 3,"07/17/2017  Phase 2 top-line data released late May 2016. Positive interim data from second trial data released July 17, 2017."
VRTX,VX-152 in combination with tezacaftor and ivacaftor  Cystic fibrosis who have one F508del mutation and one minimal function mutation and patients with two copies of the F508del mutation,Phase 2,"07/18/2017  Phase 2 data released July 18, 2017. ppFEV1 of 9.7 percentage points."
VRTX,VX-659 in combination with tezacaftor and ivacaftor  Cystic fibrosis (CF) who have one F508del mutation and one minimal function mutation (F508del/Min),Phase 3,"07/18/2017  Phase 1 data released July 18, 2017. ppFEV1 of 9.6 percentage points."
VRTX,VX-440 in combination with tezacaftor and ivacaftor  Cystic fibrosis who have one F508del mutation and one minimal function mutation and patients with two copies of the F508del mutation,Phase 2,"07/18/2017  Phase 2 data released July 18, 2017. ppFEV1 of 12.0 percentage points."
GILD,Vosevi (Sofosbuvir/Velpatasvir/Voxilaprevir)  Hepatitis C virus (HCV),Approved,"07/18/2017  Approval announced July 18, 2017."
TBPH,Revefenacin  COPD,Approved,"07/19/2017  12 month safety trial data released July 19, 2017 with NDA filing due 4Q 2017."
MYL,Revefenacin  COPD,Approved,"07/19/2017  12 month safety trial data released July 19, 2017 with NDA filing due 4Q 2017."
MRK,LUSDUNA Nexvue  Diabetes,Approved,"07/20/2017  Tentative approval announced July 20, 2017 - subject to an automatic stay due to a lawsuit from Sanofi claiming patent infringement."
BVXV,M-001  Universal flu vaccine,Phase 3,"07/20/2017  Phase 2b data released July 20, 2017 - endpoints met."
IRWD,IW-3718 Gastroesophageal reflux disease (GERD),Phase 3,"07/20/2017  Phase 2b data released July 20, 2017. Primary endpoint met but data below expectations."
GSK,Benlysta (belimumab) - subcutaneous  Systemic lupus erythematosus (SLE),Approved,"07/21/2017  Approval announced July 21, 2017."
MRK,KEYNOTE-040 KEYTRUDA  Recurrent or metastatic head and neck squamous cell carcinoma (HNSCC),Approved,"07/24/2017  Phase 3 trial did not meet primary endpoint - July 24, 2017. Awarded accelerated approval in 2016."
RETA,Bardoxolone methyl - CARDINAL  Chronic Kidney Disease Caused by Alport Syndrome,Phase 2/3,"07/24/2017  Phase 2/3 trial initiation announced February 23, 2017. Data from Phase 2 part of trial released July 24, 2017."
GNCA,GEN-003  Genital herpes,-,"07/24/2017  Phase 2b data released January 6, 2017. 12-month data released July 24, 2017. Phase 3 to commence 4Q 2017."
NVAX,RSV F Vaccine immunogenicity trial  Respiratory Syncytial Virus (RSV) in older adults,Phase 2,"07/24/2017  Phase 2 safety and immunogenicity data released July 24, 2017 - efficacy trial to be initiated 2018."
CYTX,ECCS-50  Scleroderma,Phase 3,"07/24/2017  Pivotal trial data released June 24, 2017 - endpoints not met."
PCRX,EXPAREL  Post surgical pain,Approved,"07/25/2017  Phase 3 data released July 25, 2017. Upper extremity met primary endpoint, lower extremity trial missed endpoint."
PCRX,EXPAREL  Post surgical pain,PDUFA,"07/25/2017  Phase 3 data released July 25, 2017. Upper extremity met primary endpoint, lower extremity trial missed endpoint."
TTPH,Eravacycline (TP-434) - IGNITE4  cIAI (complicated intra-abdominal infections),Approved,"07/25/2017  Phase 3 data released July 25, 2017 - primary endpoint met. NDA filing due 1Q 2018."
EGRX,Ryanodex  Exertional heat stroke (EHS),CRL,"07/26/2017  CRL issued July 26, 2017. Additional trial required."
AZN,Tagrisso - FLAURA  First-line lung cancer,Approved,"07/27/2017  Phase 3 data released July 27, 2017 - PFS improvement noted."
AZN,Durvalumab +/- tremelimumab (MYSTIC)  Lung cancer,Phase 3,"07/27/2017  Phase 3 data released July 27, 2017 - primary endpoint not met."
AZN,Tagrisso - FLAURA  First-line lung cancer,PDUFA priority review,"07/27/2017  Phase 3 data released July 27, 2017 - PFS improvement noted."
DVAX,HEPLISAV-B Hepatitis B,Approved,"07/28/2017  Advisory Committee Meeting July 28, 2017 voted 11 -1 in favor of recommending approval."
ICPT,Obeticholic acid (OCA) AESOP  Primary Sclerosing Cholangitis (PSC),Phase 2,"07/31/2017  Phase 2 data released July 31, 2017 - primary endpoint met."
NVIV,Neuro-Spinal Scaffold: INSPIRE 2.0  Complete Thoracic AIS A Spinal Cord Injury,Phase 3,"07/31/2017  Noted July 31, 2017 that enrollment has been temporarily halted as it discusses potential changes to patient enrollment criteria due to patient deaths - enrollment now due to be completed 1H 2018 with Humanitarian Device Exemption (HDE) application due 2H 2018."
ICPT,Obeticholic acid (OCA) - CONTROL  NASH patients taking statins,Phase 2,"07/31/2017  Phase 2 primary endpoint met - July 31, 2017. One patient death noted but DSMB noted unlikely to be related to OCA (company unsure)."
RDHL,RHB-104 MAP US  Crohn’s disease,Phase 3,"07/31/2017  Phase 3 DSMB safety analysis released December 13, 2016 - trial to continue as planned. Further analysis July 31, 2017 recommended trial continue as planned."
BMY,CM-142 – Opdivo (dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),Approved,"08/01/2017  Approval announced August 1, 2017."
ACRX,Zalviso  Post-operative pain following open abdominal surgery and hip or knee replacement surgery,Phase 3,"08/01/2017  Phase 2 data released August 1, 2017."
AGIO,IDHIFA (enasidenib) - AG-221 Advanced hematologic malignancies with an IDH2 mutation,Approved,"08/01/2017  Approval announced August 1, 2017."
CELG,IDHIFA (enasidenib) - AG-221 Advanced hematologic malignancies with an IDH2 mutation,Approved,"08/01/2017  Approval announced August 1, 2017."
JNJ,Imbruvica  Second-line Chronic graft-versus-host disease (GVHD),Approved,"08/02/2017  Approval announced August 2, 2017."
TBPH,Velusetrag (TD-5108)  Gastroparesis,Phase 2b,"08/02/2017  Phase 2b data released August 2, 2017. Primary endpoint not met."
JNJ,Sirukumab Rheumatoid arthritis,CRL,"08/02/2017  BLA filing announced September 23, 2016. PDUFA estimate September 23, 2017. Advisory Committee Meeting August 2, 2017 voted 12-1 against that safety data is adequate to support approval. 13-0 in favor of efficacy."
ONCE,SPK-8011  Hemophilia A,Phase 1/2,"08/02/2017  Phase 1/2 promising initial data released from first two patients - August 2, 2017. 11% and 14% Factor VIII."
ENTA,Glecaprevir/Pibrentasvir (G/P) Hepatitis C virus (HCV),Approved,"08/03/2017  Approval announced August 3, 2017."
ABBV,Glecaprevir/Pibrentasvir (G/P) Hepatitis C virus (HCV),Approved,"08/03/2017  Approval announced August 3, 2017."
PFE,Xeljanz  Psoriatic arthritis,Phase 3,"08/03/2017  PDUFA date December 2017. No exact date given. December 31, 2017 noted as last possible date using guidance of ""December 31"". Advisory Committee Meeting August 3, 2017 voted 10-1 in favor of recommending approval."
JAZZ,Vyxeos  Acute myeloid leukemia,Approved,"08/03/2017  Approval announced August 3, 2017."
CRIS,CUDC-907  Diffuse-large B-cell lymphoma (DLBCL),Phase 2,"08/03/2017  Phase 2 initial data released August 3, 2017 - ORR 19%."
LLY,Lasmiditan - SPARTAN  Migraine,NDA Filing,"08/04/2017  Phase 3 data released August 4, 2017 - endpoints met. NDA filing due 2H 2018."
FGEN,Pamrevlumab (FG-3019)  Idiopathic pulmonary fibrosis,Phase 2,"08/07/2017  Phase 2 data released August 7, 2017 - primary endpoint met."
BHC,Latanoprostene bunod  Open angle glaucoma (OAG) or ocular hypertension (OHT),Approved,"08/07/2017  CRL issued August 7, 2017."
MYOK,MYK-461 - EXPLORER-HCM  Hypertrophic cardiomyopathy (HCM),Phase 3,"08/07/2017  Phase 2 data released August 7, 2017 - primary endpoint met."
GEMP,Gemcabene - ROYAL-1  Heterozygous Familial Hypercholesterolemia (HeFH),Phase 2b,"08/07/2017  Phase 2b data released August 7, 2017 - primary endpoint met but lower than expectations."
ZYNE,ZYN002 - STAR 1  Adult Epilepsy Patients with Refractory Focal Seizures,Phase 2,"08/07/2017  Phase 2 data released August 7, 2017 - endpoints not met."
ACHN,ACH-4471  Paroxysmal nocturnal hemoglobinuria (PNH),Phase 2,"08/08/2017  Phase 2 initiation announced April 6, 2017. Interim data released August 8, 2017."
ESPR,Bempedoic Acid/ Ezetimibe (1002FDC-053)  Hypercholesterolemia,Phase 3,"08/08/2017  Phase 2 data released August 8, 2017. Primary endpoint met."
GLPG,GLPG1690 - FLORA Idiopathic pulmonary fibrosis,Phase 2a,"08/09/2017  Phase 2a top-line data released August 10, 2017. Disease progression halted. Further trials planned."
ABIO,Gencaro - GENETIC-AF trial Chronic Heart Failure,Phase 2b,"08/09/2017  Phase 2b interim analysis August 9, 2018 - trial to continue to completion. Data 1Q 2018."
TGTX,TG-1101 and TGR-1202 - UNITY-NHL study  Diffuse large B-cell lymphoma (DLBCL) cancer,Phase 2/3,"08/10/2017  Phase 2b enrollment commenced June 2016. First interim analysis August 10, 2017 determined that enrollment in TGR-1202 arm will stop but continue in TG-1101 + TGR-1202 arm. TGR-1202 arm replaced by combo of TG-1101, TGR-1202, and bendamustine."
